,date_time,open,close,delta_next_day,nextclose,prediction_0,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_7,prediction_8,prediction_9,prediction_10,prediction_11,prediction_12,prediction_13,prediction_14,prediction_15,prediction_16,prediction_17,prediction_18,prediction_19,prediction_20,prediction_21,prediction_22,prediction_23,prediction_24,prediction_25,prediction_26,prediction_27,prediction_28,prediction_29,prediction_30,prediction_31,prediction_32,prediction_33,prediction_34,prediction_35,prediction_36,prediction_37,prediction_38,prediction_39,prediction_40,prediction_41,prediction_42,prediction_43,prediction_44,prediction_45,prediction_46,prediction_47,prediction_48,prediction_49
1207,2017-05-31,70.52999877929688,69.83999633789062,682.8814926147461,-612.7815,2,2,1,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,1,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2
1208,2017-06-01,70.23999786376953,70.0999984741211,779.5195846557617,-707.7596,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,1,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2
1209,2017-06-02,70.44000244140625,71.76000213623047,775.6679992675781,-703.388,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2
1210,2017-06-05,71.97000122070312,72.27999877929688,734.4347915649414,-661.9148,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2
1211,2017-06-06,72.30000305175781,72.5199966430664,657.3600311279297,-584.97003,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2
1212,2017-06-07,72.63999938964844,72.38999938964844,537.8659210205078,-465.91592,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2
1213,2017-06-08,72.51000213623047,71.94999694824219,405.0652389526367,-334.74524,2,1,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2
1214,2017-06-09,72.04000091552734,70.31999969482422,276.9688720703125,-207.18887,2,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1215,2017-06-12,69.25,69.77999877929688,255.50714874267578,-184.85715,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1216,2017-06-13,70.0199966430664,70.6500015258789,249.59333038330078,-179.32333,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1217,2017-06-14,70.91000366210938,70.2699966430664,254.19026947021484,-184.29027,2,2,2,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1218,2017-06-15,69.2699966430664,69.9000015258789,270.99574279785156,-200.99574,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1219,2017-06-16,69.7300033569336,70.0,323.27127838134766,-252.40128,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1220,2017-06-19,70.5,70.87000274658203,412.40869140625,-342.4987,2,2,1,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1221,2017-06-20,70.81999969482422,69.91000366210938,457.56119537353516,-387.2912,2,2,1,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1222,2017-06-21,70.20999908447266,70.2699966430664,488.8605270385742,-418.60052,2,2,1,0,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1223,2017-06-22,70.54000091552734,70.26000213623047,529.0688552856445,-457.85886,2,2,1,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1224,2017-06-23,70.08999633789062,71.20999908447266,580.2898559570312,-509.75986,2,2,1,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2
1225,2017-06-26,71.4000015258789,70.52999877929688,538.2643203735352,-469.05432,2,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1226,2017-06-27,70.11000061035156,69.20999908447266,522.9772796630859,-453.17728,2,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2
1227,2017-06-28,69.20999908447266,69.80000305175781,361.8689651489258,-293.37897,2,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1228,2017-06-29,69.37999725341797,68.48999786376953,334.0438003540039,-265.1138,2,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1229,2017-06-30,68.77999877929688,68.93000030517578,267.5488586425781,-199.37886,2,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1230,2017-07-03,69.33000183105469,68.16999816894531,273.83131408691406,-204.75131,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1231,2017-07-05,68.26000213623047,69.08000183105469,213.96088409423828,-145.39088,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1232,2017-07-06,68.2699966430664,68.56999969482422,231.33792877197266,-161.87793,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1233,2017-07-07,68.69999694824219,69.45999908447266,214.1440658569336,-144.16406,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1234,2017-07-10,69.45999908447266,69.9800033569336,227.6382064819336,-157.64821,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1235,2017-07-11,70.0,69.98999786376953,227.2140884399414,-156.06409,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1236,2017-07-12,70.69000244140625,71.1500015258789,202.5255355834961,-130.75554,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1237,2017-07-13,71.5,71.7699966430664,235.85784912109375,-163.07785,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1238,2017-07-14,72.23999786376953,72.77999877929688,218.61577606201172,-145.26578,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1239,2017-07-17,72.80000305175781,73.3499984741211,219.19517517089844,-145.89517,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
1240,2017-07-18,73.08999633789062,73.30000305175781,157.30455017089844,-83.44455,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1241,2017-07-19,73.5,73.86000061035156,148.48857879638672,-74.26858,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2
1242,2017-07-20,74.18000030517578,74.22000122070312,111.60399627685547,-37.813995,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1243,2017-07-21,73.44999694824219,73.79000091552734,117.70340347290039,-44.103405,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1244,2017-07-24,73.52999877929688,73.5999984741211,98.39329719543457,-24.203295,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1245,2017-07-25,73.80000305175781,74.19000244140625,105.11079025268555,-31.060787,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1246,2017-07-26,74.33999633789062,74.05000305175781,93.56521415710449,-20.40521,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1247,2017-07-27,73.76000213623047,73.16000366210938,98.21688652038574,-25.176886,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1248,2017-07-28,72.66999816894531,73.04000091552734,119.5086898803711,-46.808693,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2
1249,2017-07-31,73.30000305175781,72.69999694824219,105.21659851074219,-32.636597,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2
1250,2017-08-01,73.0999984741211,72.58000183105469,129.97338104248047,-57.71338,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2
1251,2017-08-02,72.55000305175781,72.26000213623047,111.22700881958008,-39.077007,2,2,2,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2
1252,2017-08-03,72.19000244140625,72.1500015258789,116.82428741455078,-44.144287,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2
1253,2017-08-04,72.4000015258789,72.68000030517578,85.95403003692627,-13.5540285,2,2,2,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1254,2017-08-07,72.80000305175781,72.4000015258789,84.94197368621826,-12.151973,2,2,2,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1255,2017-08-08,72.08999633789062,72.79000091552734,59.84862041473389,12.621381,2,2,2,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1256,2017-08-09,72.25,72.47000122070312,59.58773899078369,11.822265,2,2,2,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1257,2017-08-10,71.9000015258789,71.41000366210938,40.387054443359375,32.112946,2,2,2,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1258,2017-08-11,71.61000061035156,72.5,43.20062255859375,30.389374,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1259,2017-08-14,73.05999755859375,73.58999633789062,36.893001556396484,36.327,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1260,2017-08-15,73.58999633789062,73.22000122070312,38.00608444213867,35.643917,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1261,2017-08-16,73.33999633789062,73.6500015258789,38.80888748168945,33.591114,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1262,2017-08-17,73.58000183105469,72.4000015258789,36.64842224121094,35.841576,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1263,2017-08-18,72.2699966430664,72.48999786376953,36.704856872558594,35.445145,2,2,2,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1264,2017-08-21,72.47000122070312,72.1500015258789,33.516021728515625,39.643982,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1265,2017-08-22,72.3499984741211,73.16000366210938,31.845996856689453,40.874004,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1266,2017-08-23,72.95999908447266,72.72000122070312,27.757545471191406,44.932457,2,2,2,0,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1267,2017-08-24,72.73999786376953,72.69000244140625,30.7371826171875,42.082817,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1268,2017-08-25,72.86000061035156,72.81999969482422,26.869335174560547,45.960667,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1269,2017-08-28,73.05999755859375,72.83000183105469,28.063941955566406,44.98606,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1270,2017-08-29,72.25,73.05000305175781,27.441646575927734,46.568356,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
1271,2017-08-30,73.01000213623047,74.01000213623047,28.148242950439453,46.621754,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
