,Unnamed: 0,date_time,open,close,delta_next_day,nextclose,prediction_0,prediction_2,prediction_4,prediction_6,prediction_8,prediction_10,prediction_12,prediction_14,prediction_16,prediction_18,prediction_20,prediction_22,prediction_24,prediction_26,prediction_28,prediction_30,prediction_32,prediction_34,prediction_36,prediction_38,prediction_40,prediction_42,prediction_44,prediction_46,prediction_48,Unnamed: 0,prediction_1,prediction_3,prediction_5,prediction_7,prediction_9,prediction_11,prediction_13,prediction_15,prediction_17,prediction_19,prediction_21,prediction_23,prediction_25,prediction_27,prediction_29,prediction_31,prediction_33,prediction_35,prediction_37,prediction_39,prediction_41,prediction_43,prediction_45,prediction_47,prediction_49
1013,1013,2016-07-06,50.77999877929688,51.380001068115234,0.4546394348144531,50.92536,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2,1013,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2
1014,1014,2016-07-07,51.41999816894531,51.380001068115234,1.2656593322753906,51.03434,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1014,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
1015,1015,2016-07-08,51.72999954223633,52.29999923706055,1.3731231689453125,51.216877,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1015,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
1016,1016,2016-07-11,52.5,52.59000015258789,1.650287628173828,51.55971,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1016,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1017,1017,2016-07-12,52.93999862670898,53.209999084472656,1.5065345764160156,52.003464,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1017,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2
1018,1018,2016-07-13,53.560001373291016,53.5099983215332,1.2703819274902344,52.46962,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1018,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
1019,1019,2016-07-14,53.84000015258789,53.7400016784668,0.7705268859863281,52.929474,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1019,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2
1020,1020,2016-07-15,53.95000076293945,53.70000076293945,0.6419944763183594,53.318005,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,1020,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2
1021,1021,2016-07-18,53.70000076293945,53.959999084472656,-0.4087104797363281,53.49871,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1021,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2
1022,1022,2016-07-19,53.709999084472656,53.09000015258789,2.220226287841797,53.689774,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1022,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1023,1023,2016-07-20,56.150001525878906,55.90999984741211,2.3282470703125,53.471752,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1023,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1024,1024,2016-07-21,55.97999954223633,55.79999923706055,2.331771850585937,54.238228,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1024,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1025,1025,2016-07-22,56.08000183105469,56.56999969482422,1.7492408752441406,54.98076,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1025,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1026,1026,2016-07-25,56.470001220703125,56.72999954223633,1.1551895141601562,55.60481,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1026,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
1027,1027,2016-07-26,56.52000045776367,56.7599983215332,0.1106338500976562,56.079365,2,2,2,2,2,2,2,2,1,1,2,1,2,0,0,1,0,2,2,1,2,2,2,2,2,1027,2,2,2,2,2,1,2,2,2,2,2,0,1,2,1,2,2,1,1,1,2,2,0,2,2
